region,tenure,age,marital,address,income,ed,employ,retire,gender,reside,custcat,income_log,age_scaled,tenure_scaled,employ_scaled,retire_scaled
2,72,57,0,34,22.0,2,35,1.0,1,1,3,3.1354942159291497,1.2201519102713592,1.708453745450809,2.3829406917547087,4.502954113099627
3,10,41,0,7,30.0,1,7,0.0,0,1,3,3.4339872044851463,-0.054490983718046906,-1.1956459479732786,-0.39565171107425245,-0.2220764357981978
2,15,28,0,0,29.0,2,4,0.0,1,1,3,3.4011973816621555,-1.0901383350844394,-0.9614443597939166,-0.693358039948784,-0.2220764357981978
2,27,28,1,4,23.0,2,8,0.0,0,5,1,3.1780538303479458,-1.0901383350844394,-0.39936054816344807,-0.2964162681160753,-0.2220764357981978
1,9,36,1,14,62.0,4,10,0.0,0,6,4,4.143134726391533,-0.4528168880897363,-1.2424862656091509,-0.09794538219972089,-0.2220764357981978
1,64,43,1,20,76.0,4,20,0.0,1,4,3,4.343805421853684,0.10483937803062884,1.3337312043638299,0.894409047382051,-0.2220764357981978
1,65,41,1,3,74.0,4,16,0.0,0,2,2,4.31748811353631,-0.054490983718046906,1.3805715219997023,0.4974672755493422,-0.2220764357981978
1,49,51,1,27,63.0,4,19,0.0,0,5,2,4.1588830833596715,0.7421608250253319,0.6311264398257442,0.7951736044238739,-0.2220764357981978
3,47,41,1,0,36.0,4,8,0.0,0,2,4,3.6109179126442243,-0.054490983718046906,0.5374458045539995,-0.2964162681160753,-0.2220764357981978
3,9,34,1,9,33.0,2,8,0.0,1,4,1,3.5263605246161616,-0.6121472498384121,-1.2424862656091509,-0.2964162681160753,-0.2220764357981978
1,5,36,0,14,29.0,2,9,0.0,1,1,3,3.4011973816621555,-0.4528168880897363,-1.4298475361526404,-0.1971808251578981,-0.2220764357981978
2,30,34,1,4,27.0,2,1,0.0,0,5,1,3.332204510175204,-0.6121472498384121,-0.25883959525583095,-0.9910643688233156,-0.2220764357981978
1,56,52,1,28,49.0,2,12,0.0,0,4,2,3.912023005428146,0.8218260058996697,0.959008663276851,0.10052550371663348,-0.2220764357981978
3,10,22,0,0,24.0,4,0,0.0,0,1,4,3.2188758248682006,-1.5681294203304665,-1.1956459479732786,-1.0902998117814928,-0.2220764357981978
1,7,26,1,3,26.0,2,2,0.0,0,5,1,3.295836866004329,-1.249468696833115,-1.3361669008808956,-0.8918289258651384,-0.2220764357981978
1,52,27,0,6,47.0,3,5,0.0,0,2,1,3.871201010907891,-1.1698035159587772,0.7716473927333615,-0.5941225969906069,-0.2220764357981978
2,36,45,1,1,94.0,2,18,0.0,1,5,1,4.553876891600541,0.2641697397793046,0.02220231055940335,0.6959381614656966,-0.2220764357981978
3,27,34,0,8,21.0,3,4,0.0,1,1,2,3.091042453358316,-0.6121472498384121,-0.39936054816344807,-0.693358039948784,-0.2220764357981978
1,58,62,1,36,27.0,1,0,0.0,0,2,1,3.332204510175204,1.6184778146430485,1.0526892985485956,-1.0902998117814928,-0.2220764357981978
2,41,52,0,27,30.0,2,2,0.0,1,1,3,3.4339872044851463,0.8218260058996697,0.25640389873876523,-0.8918289258651384,-0.2220764357981978
2,47,40,1,16,127.0,4,12,0.0,1,4,2,4.852030263919617,-0.13415616459238477,0.5374458045539995,0.10052550371663348,-0.2220764357981978
2,55,39,1,15,137.0,2,20,0.0,1,2,3,4.927253685157205,-0.21382134546672266,0.9121683456409786,0.894409047382051,-0.2220764357981978
2,56,50,1,1,80.0,2,24,0.0,1,4,4,4.394449154672439,0.6624956441509939,0.959008663276851,1.2913508192147598,-0.2220764357981978
3,35,55,0,24,30.0,2,2,0.0,0,1,1,3.4339872044851463,1.0608215485226833,-0.02463800707646903,-0.8918289258651384,-0.2220764357981978
2,69,51,1,11,438.0,4,23,0.0,1,2,4,6.0844994130751715,0.7421608250253319,1.5679327925431918,1.1921153762565826,-0.2220764357981978
2,44,39,0,16,79.0,2,16,0.0,0,1,4,4.382026634673881,-0.21382134546672266,0.39692485164638236,0.4974672755493422,-0.2220764357981978
3,36,47,1,16,63.0,1,23,0.0,0,2,1,4.1588830833596715,0.42350010152798034,0.02220231055940335,1.1921153762565826,-0.2220764357981978
3,28,51,1,22,40.0,3,10,0.0,1,6,3,3.713572066704308,0.7421608250253319,-0.3525202305275757,-0.09794538219972089,-0.2220764357981978
1,72,67,1,44,51.0,1,34,1.0,0,2,3,3.9512437185814275,2.016803719014738,1.708453745450809,2.2837052487965313,4.502954113099627
1,16,27,0,5,37.0,3,5,0.0,0,4,1,3.6375861597263857,-1.1698035159587772,-0.9146040421580443,-0.5941225969906069,-0.2220764357981978
3,3,43,0,19,61.0,4,11,0.0,1,1,1,4.127134385045092,0.10483937803062884,-1.5235281714243851,0.0012900607584562936,-0.2220764357981978
1,40,57,1,15,22.0,2,9,0.0,0,2,1,3.1354942159291497,1.2201519102713592,0.20956358110289286,-0.1971808251578981,-0.2220764357981978
3,16,39,0,6,44.0,4,3,0.0,1,1,2,3.8066624897703196,-0.21382134546672266,-0.9146040421580443,-0.7925934829069612,-0.2220764357981978
1,20,42,0,4,17.0,3,5,0.0,0,1,1,2.8903717578961645,0.02517419715629097,-0.7272427716145548,-0.5941225969906069,-0.2220764357981978
2,48,43,0,13,110.0,5,15,0.0,1,3,2,4.709530201312334,0.10483937803062884,0.5842861221898719,0.39823183259116507,-0.2220764357981978
2,64,48,1,13,91.0,2,24,0.0,0,2,3,4.5217885770490405,0.5031652824023182,1.3337312043638299,1.2913508192147598,-0.2220764357981978
1,8,46,0,3,46.0,2,8,0.0,0,1,1,3.8501476017100584,0.34383492065364246,-1.2893265832450234,-0.2964162681160753,-0.2220764357981978
1,40,38,1,10,85.0,3,12,0.0,0,2,3,4.454347296253507,-0.29348652634106054,0.20956358110289286,0.10052550371663348,-0.2220764357981978
2,38,71,0,27,10.0,2,12,1.0,0,1,1,2.3978952727983707,2.335464442512089,0.11588294583114811,0.10052550371663348,4.502954113099627
1,67,68,0,28,244.0,1,47,0.0,1,1,3,5.501258210544727,2.096468899889076,1.474252157271447,3.5737660072528348,-0.2220764357981978
1,26,42,0,0,80.0,4,15,0.0,1,1,4,4.394449154672439,0.02517419715629097,-0.44620086579932045,0.39823183259116507,-0.2220764357981978
3,41,34,1,15,83.0,5,1,0.0,1,2,4,4.430816798843313,-0.6121472498384121,0.25640389873876523,-0.9910643688233156,-0.2220764357981978
2,2,31,0,2,21.0,1,6,0.0,0,1,1,3.091042453358316,-0.8511427924614257,-1.5703684890602576,-0.49488715403242967,-0.2220764357981978
3,20,48,1,29,24.0,2,3,0.0,0,2,4,3.2188758248682006,0.5031652824023182,-0.7272427716145548,-0.7925934829069612,-0.2220764357981978
2,31,53,0,2,351.0,3,31,0.0,1,1,3,5.863631175598097,0.9014911867740076,-0.21199927761995854,1.9859989199219998,-0.2220764357981978
2,45,52,1,4,169.0,4,29,0.0,1,4,2,5.135798437050262,0.8218260058996697,0.44376516928225473,1.7875280340056454,-0.2220764357981978
2,33,27,1,7,46.0,2,7,0.0,0,4,1,3.8501476017100584,-1.1698035159587772,-0.11831864234821379,-0.39565171107425245,-0.2220764357981978
1,10,26,0,6,34.0,3,3,0.0,0,1,2,3.5553480614894135,-1.249468696833115,-1.1956459479732786,-0.7925934829069612,-0.2220764357981978
2,62,54,1,2,50.0,4,3,0.0,0,2,4,3.9318256327243257,0.9811563676483455,1.240050569092085,-0.7925934829069612,-0.2220764357981978
2,4,35,0,16,161.0,5,6,0.0,1,1,4,5.087596335232384,-0.5324820689640741,-1.4766878537885129,-0.49488715403242967,-0.2220764357981978
1,42,47,1,17,212.0,4,17,0.0,0,2,3,5.3612921657094255,0.42350010152798034,0.3032442163746376,0.5967027185075194,-0.2220764357981978
3,27,51,1,3,80.0,5,11,0.0,0,3,2,4.394449154672439,0.7421608250253319,-0.39936054816344807,0.0012900607584562936,-0.2220764357981978
2,38,42,0,1,30.0,4,7,0.0,1,1,1,3.4339872044851463,0.02517419715629097,0.11588294583114811,-0.39565171107425245,-0.2220764357981978
3,52,61,1,3,53.0,5,1,0.0,1,2,2,3.9889840465642745,1.5388126337687107,0.7716473927333615,-0.9910643688233156,-0.2220764357981978
3,35,33,0,9,73.0,5,4,0.0,1,1,4,4.30406509320417,-0.6918124307127499,-0.02463800707646903,-0.693358039948784,-0.2220764357981978
3,3,20,1,1,17.0,2,0,0.0,1,4,1,2.8903717578961645,-1.7274597820791422,-1.5235281714243851,-1.0902998117814928,-0.2220764357981978
2,17,33,0,9,23.0,5,3,0.0,0,1,4,3.1780538303479458,-0.6918124307127499,-0.8677637245221719,-0.7925934829069612,-0.2220764357981978
1,55,53,1,21,34.0,1,8,0.0,0,2,3,3.5553480614894135,0.9014911867740076,0.9121683456409786,-0.2964162681160753,-0.2220764357981978
3,43,36,1,5,107.0,1,19,0.0,1,3,2,4.68213122712422,-0.4528168880897363,0.35008453401051,0.7951736044238739,-0.2220764357981978
2,47,25,1,5,21.0,1,1,0.0,1,2,3,3.091042453358316,-1.3291338777074528,0.5374458045539995,-0.9910643688233156,-0.2220764357981978
3,65,58,0,30,83.0,2,16,0.0,1,1,2,4.430816798843313,1.299817091145697,1.3805715219997023,0.4974672755493422,-0.2220764357981978
1,13,20,0,1,17.0,3,0,0.0,0,5,4,2.8903717578961645,-1.7274597820791422,-1.0551249950656614,-1.0902998117814928,-0.2220764357981978
3,64,25,1,4,76.0,3,2,0.0,1,6,3,4.343805421853684,-1.3291338777074528,1.3337312043638299,-0.8918289258651384,-0.2220764357981978
2,12,24,0,2,19.0,1,0,0.0,0,1,3,2.995732273553991,-1.4087990585817909,-1.1019653127015336,-1.0902998117814928,-0.2220764357981978
1,29,32,1,0,49.0,4,3,0.0,1,3,2,3.912023005428146,-0.7714776115870878,-0.3056799128917033,-0.7925934829069612,-0.2220764357981978
2,23,47,0,21,173.0,3,22,0.0,1,1,2,5.159055299214529,0.42350010152798034,-0.5867218187069376,1.0928799332984054,-0.2220764357981978
2,14,35,0,4,47.0,3,10,0.0,1,1,2,3.871201010907891,-0.5324820689640741,-1.008284677429789,-0.09794538219972089,-0.2220764357981978
1,35,61,0,23,41.0,2,11,0.0,0,1,1,3.7376696182833684,1.5388126337687107,-0.02463800707646903,0.0012900607584562936,-0.2220764357981978
3,26,39,0,8,105.0,3,13,0.0,1,1,4,4.663439094112067,-0.21382134546672266,-0.44620086579932045,0.19976094667481067,-0.2220764357981978
1,13,54,0,2,31.0,4,2,0.0,0,1,1,3.4657359027997265,0.9811563676483455,-1.0551249950656614,-0.8918289258651384,-0.2220764357981978
2,69,40,1,13,41.0,2,17,0.0,0,3,2,3.7376696182833684,-0.13415616459238477,1.5679327925431918,0.5967027185075194,-0.2220764357981978
3,61,50,1,30,102.0,4,9,0.0,1,3,2,4.634728988229636,0.6624956441509939,1.1932102514562128,-0.1971808251578981,-0.2220764357981978
2,45,22,1,2,36.0,4,0,0.0,1,5,2,3.6109179126442243,-1.5681294203304665,0.44376516928225473,-1.0902998117814928,-0.2220764357981978
2,3,37,0,13,24.0,1,3,0.0,1,1,1,3.2188758248682006,-0.3731517072153984,-1.5235281714243851,-0.7925934829069612,-0.2220764357981978
2,53,22,0,1,25.0,4,0,0.0,0,2,2,3.258096538021482,-1.5681294203304665,0.8184877103692338,-1.0902998117814928,-0.2220764357981978
1,59,42,0,1,68.0,2,21,0.0,1,1,3,4.23410650459726,0.02517419715629097,1.099529616184468,0.9936444903402282,-0.2220764357981978
1,13,34,0,11,20.0,3,0,0.0,1,1,1,3.044522437723423,-0.6121472498384121,-1.0551249950656614,-1.0902998117814928,-0.2220764357981978
3,31,31,0,4,48.0,1,15,0.0,0,1,3,3.8918202981106265,-0.8511427924614257,-0.21199927761995854,0.39823183259116507,-0.2220764357981978
1,40,29,1,6,40.0,2,8,0.0,1,5,3,3.713572066704308,-1.0104731542101013,0.20956358110289286,-0.2964162681160753,-0.2220764357981978
1,48,55,0,15,79.0,1,25,0.0,0,1,3,4.382026634673881,1.0608215485226833,0.5842861221898719,1.390586262172937,-0.2220764357981978
3,3,31,0,1,28.0,1,0,0.0,0,1,1,3.367295829986474,-0.8511427924614257,-1.5235281714243851,-1.0902998117814928,-0.2220764357981978
2,51,48,0,12,64.0,2,22,0.0,1,1,1,4.174387269895637,0.5031652824023182,0.724807075097489,1.0928799332984054,-0.2220764357981978
3,33,41,0,15,37.0,2,11,0.0,0,1,1,3.6375861597263857,-0.054490983718046906,-0.11831864234821379,0.0012900607584562936,-0.2220764357981978
3,14,47,1,7,48.0,1,13,0.0,0,2,1,3.8918202981106265,0.42350010152798034,-1.008284677429789,0.19976094667481067,-0.2220764357981978
1,17,42,1,6,131.0,5,6,0.0,0,3,2,4.882801922586371,0.02517419715629097,-0.8677637245221719,-0.49488715403242967,-0.2220764357981978
3,19,29,1,9,18.0,2,2,0.0,0,3,1,2.9444389791664403,-1.0104731542101013,-0.7740830892504271,-0.8918289258651384,-0.2220764357981978
2,58,36,0,10,38.0,2,14,0.0,1,1,2,3.6635616461296463,-0.4528168880897363,1.0526892985485956,0.29899638963298786,-0.2220764357981978
3,22,23,0,3,37.0,2,4,0.0,1,3,4,3.6375861597263857,-1.4884642394561287,-0.63356213634281,-0.693358039948784,-0.2220764357981978
2,29,31,1,1,60.0,4,6,0.0,0,5,2,4.110873864173311,-0.8511427924614257,-0.3056799128917033,-0.49488715403242967,-0.2220764357981978
3,14,22,1,2,13.0,3,0,0.0,1,4,2,2.6390573296152584,-1.5681294203304665,-1.008284677429789,-1.0902998117814928,-0.2220764357981978
2,70,64,1,18,98.0,1,31,0.0,1,2,4,4.59511985013459,1.7778081763917242,1.6147731101790643,1.9859989199219998,-0.2220764357981978
1,62,52,1,2,195.0,1,23,0.0,0,2,3,5.278114659230517,0.8218260058996697,1.240050569092085,1.1921153762565826,-0.2220764357981978
2,7,35,1,0,47.0,1,14,0.0,0,5,1,3.871201010907891,-0.5324820689640741,-1.3361669008808956,0.29899638963298786,-0.2220764357981978
1,56,47,1,19,65.0,2,22,0.0,0,3,4,4.189654742026425,0.42350010152798034,0.959008663276851,1.0928799332984054,-0.2220764357981978
1,50,50,1,22,150.0,5,5,0.0,1,4,2,5.017279836814924,0.6624956441509939,0.6779667574616166,-0.5941225969906069,-0.2220764357981978
2,57,39,0,6,106.0,5,8,0.0,0,1,3,4.672828834461906,-0.21382134546672266,1.0058489809127233,-0.2964162681160753,-0.2220764357981978
3,2,40,0,19,51.0,4,14,0.0,1,1,1,3.9512437185814275,-0.13415616459238477,-1.5703684890602576,0.29899638963298786,-0.2220764357981978
2,40,38,0,17,96.0,4,0,0.0,1,1,1,4.574710978503383,-0.29348652634106054,0.20956358110289286,-1.0902998117814928,-0.2220764357981978
2,6,43,0,4,33.0,5,7,0.0,0,2,3,3.5263605246161616,0.10483937803062884,-1.383007218516768,-0.39565171107425245,-0.2220764357981978
3,23,25,1,6,38.0,2,1,0.0,1,3,3,3.6635616461296463,-1.3291338777074528,-0.5867218187069376,-0.9910643688233156,-0.2220764357981978
3,11,32,0,6,125.0,4,5,0.0,0,1,4,4.836281906951478,-0.7714776115870878,-1.1488056303374061,-0.5941225969906069,-0.2220764357981978
1,29,37,1,13,145.0,5,0,0.0,1,4,4,4.983606621708336,-0.3731517072153984,-0.3056799128917033,-1.0902998117814928,-0.2220764357981978
1,42,44,1,2,99.0,2,21,0.0,0,3,3,4.605170185988092,0.18450455890496673,0.3032442163746376,0.9936444903402282,-0.2220764357981978
1,20,34,1,2,22.0,4,0,0.0,1,3,4,3.1354942159291497,-0.6121472498384121,-0.7272427716145548,-1.0902998117814928,-0.2220764357981978
2,72,60,1,21,31.0,1,38,1.0,0,2,2,3.4657359027997265,1.4591474528943726,1.708453745450809,2.68064702062924,4.502954113099627
1,2,36,0,3,25.0,1,6,0.0,1,1,3,3.258096538021482,-0.4528168880897363,-1.5703684890602576,-0.49488715403242967,-0.2220764357981978
3,46,25,0,5,57.0,5,0,0.0,1,2,1,4.060443010546419,-1.3291338777074528,0.49060548691812716,-1.0902998117814928,-0.2220764357981978
2,39,51,1,21,41.0,5,20,0.0,0,6,4,3.7376696182833684,0.7421608250253319,0.16272326346702048,0.894409047382051,-0.2220764357981978
3,24,25,1,1,20.0,3,1,0.0,1,2,2,3.044522437723423,-1.3291338777074528,-0.5398815010710653,-0.9910643688233156,-0.2220764357981978
3,59,43,1,4,101.0,2,22,0.0,1,5,2,4.624972813284271,0.10483937803062884,1.099529616184468,1.0928799332984054,-0.2220764357981978
1,65,37,0,8,56.0,2,15,0.0,0,1,2,4.04305126783455,-0.3731517072153984,1.3805715219997023,0.39823183259116507,-0.2220764357981978
2,50,27,1,5,22.0,2,5,0.0,1,3,1,3.1354942159291497,-1.1698035159587772,0.6779667574616166,-0.5941225969906069,-0.2220764357981978
1,57,37,0,11,108.0,4,9,0.0,1,1,3,4.6913478822291435,-0.3731517072153984,1.0058489809127233,-0.1971808251578981,-0.2220764357981978
3,61,48,0,14,115.0,4,20,0.0,1,1,4,4.7535901911063645,0.5031652824023182,1.1932102514562128,0.894409047382051,-0.2220764357981978
3,34,54,0,31,53.0,4,22,0.0,0,1,4,3.9889840465642745,0.9811563676483455,-0.0714783247123414,1.0928799332984054,-0.2220764357981978
3,38,53,0,13,242.0,4,12,0.0,0,1,4,5.493061443340548,0.9014911867740076,0.11588294583114811,0.10052550371663348,-0.2220764357981978
1,3,24,1,2,20.0,2,3,0.0,1,5,3,3.044522437723423,-1.4087990585817909,-1.5235281714243851,-0.7925934829069612,-0.2220764357981978
2,4,47,0,5,123.0,4,11,0.0,0,1,1,4.820281565605037,0.42350010152798034,-1.4766878537885129,0.0012900607584562936,-0.2220764357981978
2,15,35,0,0,34.0,1,12,0.0,0,1,1,3.5553480614894135,-0.5324820689640741,-0.9614443597939166,0.10052550371663348,-0.2220764357981978
1,25,29,1,8,31.0,4,3,0.0,1,5,2,3.4657359027997265,-1.0104731542101013,-0.4930411834351928,-0.7925934829069612,-0.2220764357981978
3,21,44,0,25,47.0,1,12,0.0,1,2,3,3.871201010907891,0.18450455890496673,-0.6804024539786824,0.10052550371663348,-0.2220764357981978
3,50,37,1,11,48.0,3,8,0.0,1,2,3,3.8918202981106265,-0.3731517072153984,0.6779667574616166,-0.2964162681160753,-0.2220764357981978
2,65,64,1,22,13.0,2,5,1.0,1,3,3,2.6390573296152584,1.7778081763917242,1.3805715219997023,-0.5941225969906069,4.502954113099627
2,59,52,1,18,78.0,1,25,0.0,0,2,1,4.3694478524670215,0.8218260058996697,1.099529616184468,1.390586262172937,-0.2220764357981978
3,29,26,0,7,34.0,1,7,0.0,1,2,3,3.5553480614894135,-1.249468696833115,-0.3056799128917033,-0.39565171107425245,-0.2220764357981978
1,60,46,0,17,81.0,5,9,0.0,1,1,2,4.406719247264253,0.34383492065364246,1.1463699338203404,-0.1971808251578981,-0.2220764357981978
1,71,45,1,14,86.0,2,25,0.0,0,2,2,4.465908118654584,0.2641697397793046,1.6616134278149366,1.390586262172937,-0.2220764357981978
3,38,27,1,0,26.0,4,2,0.0,0,4,4,3.295836866004329,-1.1698035159587772,0.11588294583114811,-0.8918289258651384,-0.2220764357981978
3,16,34,1,5,51.0,2,8,0.0,1,5,1,3.9512437185814275,-0.6121472498384121,-0.9146040421580443,-0.2964162681160753,-0.2220764357981978
3,7,31,0,10,59.0,3,10,0.0,0,1,1,4.0943445622221,-0.8511427924614257,-1.3361669008808956,-0.09794538219972089,-0.2220764357981978
1,59,53,0,21,112.0,4,16,0.0,0,1,2,4.727387818712341,0.9014911867740076,1.099529616184468,0.4974672755493422,-0.2220764357981978
2,22,56,1,14,57.0,4,28,0.0,0,2,4,4.060443010546419,1.1404867293970211,-0.63356213634281,1.6882925910474684,-0.2220764357981978
1,18,48,1,20,41.0,1,2,0.0,1,2,1,3.7376696182833684,0.5031652824023182,-0.8209234068862995,-0.8918289258651384,-0.2220764357981978
2,64,46,1,19,168.0,2,26,0.0,1,2,4,5.1298987149230735,0.34383492065364246,1.3337312043638299,1.4898217051311142,-0.2220764357981978
2,7,33,0,4,29.0,4,4,0.0,1,3,1,3.4011973816621555,-0.6918124307127499,-1.3361669008808956,-0.693358039948784,-0.2220764357981978
3,65,58,0,13,167.0,2,14,0.0,1,2,2,5.123963979403259,1.299817091145697,1.3805715219997023,0.29899638963298786,-0.2220764357981978
3,7,24,0,5,29.0,2,3,0.0,0,3,1,3.4011973816621555,-1.4087990585817909,-1.3361669008808956,-0.7925934829069612,-0.2220764357981978
1,64,55,0,28,104.0,1,26,0.0,1,1,3,4.653960350157523,1.0608215485226833,1.3337312043638299,1.4898217051311142,-0.2220764357981978
3,42,22,1,0,46.0,4,0,0.0,0,2,4,3.8501476017100584,-1.5681294203304665,0.3032442163746376,-1.0902998117814928,-0.2220764357981978
3,33,26,0,5,46.0,4,1,0.0,1,3,4,3.8501476017100584,-1.249468696833115,-0.11831864234821379,-0.9910643688233156,-0.2220764357981978
1,3,33,0,8,51.0,4,0,0.0,1,1,1,3.9512437185814275,-0.6918124307127499,-1.5235281714243851,-1.0902998117814928,-0.2220764357981978
2,69,42,1,11,65.0,2,18,0.0,0,2,4,4.189654742026425,0.02517419715629097,1.5679327925431918,0.6959381614656966,-0.2220764357981978
2,9,33,0,1,48.0,2,13,0.0,0,2,1,3.8918202981106265,-0.6918124307127499,-1.2424862656091509,0.19976094667481067,-0.2220764357981978
3,22,34,1,1,46.0,3,1,0.0,0,4,2,3.8501476017100584,-0.6121472498384121,-0.63356213634281,-0.9910643688233156,-0.2220764357981978
2,53,63,1,15,43.0,2,18,0.0,0,2,2,3.784189633918261,1.6981429955173863,0.8184877103692338,0.6959381614656966,-0.2220764357981978
3,71,53,0,30,110.0,1,34,0.0,0,1,2,4.709530201312334,0.9014911867740076,1.6616134278149366,2.2837052487965313,-0.2220764357981978
